race_date,horse_name,jockey,trainer,actual_weight,draw,win_odds,race_distance,is_top3,last_is_top3,top3_rate_last_1,top3_rate_last_3,top3_rate_last_5,avg_odds_last_3,avg_actual_weight_last_3,days_since_last_race,predicted_top3_prob,implied_prob,edge,expected_return
2023-01-01,加州星球,巴度,韋達,123,2,4.9,1800,0,,,,,,,,0.2707293629230064,0.2040816326530612,0.06664773026994522,0.32657387832273155
2023-01-20,加州星球,莫雷拉,沈集成,127,12,1.4,1200,1,0.0,0.0,0.0,0.0,4.9,123.0,19.0,0.8128427254440231,0.7142857142857143,0.09855701115830884,0.1379798156216323
2023-02-01,加州星球,希威森,蘇保羅,126,8,18.7,2200,0,1.0,0.5,0.5,0.5,3.1500000000000004,125.0,12.0,0.1342616564301728,0.053475935828877004,0.0807857206012958,1.5106929752442313
2023-02-07,加州星球,田泰安,蘇保羅,128,8,13.2,1200,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.333333333333334,125.33333333333331,6.0,0.1293864958833927,0.07575757575757576,0.05362892012581695,0.7079017456607836
2023-02-22,加州星球,潘頓,韋達,118,10,2.1,1000,0,0.0,0.25,0.3333333333333333,0.25,11.1,127.0,15.0,0.7159825199888669,0.47619047619047616,0.2397920437983907,0.5035632919766204
2023-02-23,加州星球,田泰安,呂健威,124,3,5.8,1400,0,0.0,0.2,0.0,0.2,11.333333333333334,124.0,1.0,0.4666558125770352,0.1724137931034483,0.2942420194735869,1.7066037129468041
2023-02-25,加州星球,希威森,蘇保羅,118,8,12.9,1400,1,0.0,0.1666666666666666,0.0,0.2,7.033333333333332,123.33333333333331,2.0,0.6328149007682526,0.07751937984496124,0.5552955209232914,7.163312219910459
2023-02-27,加州星球,希威森,葉楚航,121,11,17.9,1200,0,1.0,0.2857142857142857,0.3333333333333333,0.2,6.933333333333334,120.0,2.0,0.2354553079521461,0.0558659217877095,0.1795893861644366,3.2146500123434145
2023-04-05,加州星球,希威森,沈集成,119,11,8.9,2000,0,0.0,0.2222222222222222,0.3333333333333333,0.2,18.266666666666666,123.33333333333331,6.0,0.2313326882179733,0.11235955056179775,0.11897313765617554,1.058860925139962
2023-05-02,加州星球,潘頓,呂健威,116,1,1.9,2200,1,0.0,0.2,0.0,0.2,16.933333333333334,123.66666666666669,27.0,0.8671558990741641,0.5263157894736842,0.34084010960047995,0.6475962082409118
