finish_position,horse_name,jockey,trainer,actual_weight,declared_weight,draw,win_odds,source_file,race_sheet,is_top3,horse_name_id,jockey_id,trainer_id
1.0,慶萬家 (G029),楊明綸,蘇偉賢,129.0,1074.0,9.0,9.2,HKJ_local_results_20231025,25-10-2023_Race1,True,709,20,50
2.0,美滿星雲 (G279),蔡明紹,伍鵬志,134.0,1127.0,2.0,7.0,HKJ_local_results_20231025,25-10-2023_Race1,True,1255,41,3
3.0,活力多多 (H022),田泰安,伍鵬志,122.0,1240.0,12.0,7.5,HKJ_local_results_20231025,25-10-2023_Race1,True,942,27,3
4.0,綠登 (E409),董明朗,蘇偉賢,118.0,1112.0,7.0,12.0,HKJ_local_results_20231025,25-10-2023_Race1,False,1227,40,50
5.0,日就月將 (D157),潘頓,賀賢,132.0,1049.0,4.0,2.7,HKJ_local_results_20231025,25-10-2023_Race1,False,768,25,52
6.0,豐盛多彩 (G301),希威森,黎昭昇,129.0,1100.0,1.0,6.5,HKJ_local_results_20231025,25-10-2023_Race1,False,1381,15,65
7.0,麒麟 (E151),梁家俊,大衛希斯,127.0,1165.0,3.0,20.0,HKJ_local_results_20231025,25-10-2023_Race1,False,1805,19,12
8.0,日日靚 (D070),艾道拿,方嘉柏,122.0,1134.0,6.0,17.0,HKJ_local_results_20231025,25-10-2023_Race1,False,772,32,26
9.0,摘星光輝 (E316),陳嘉熙,鄭俊偉,117.0,1067.0,10.0,59.0,HKJ_local_results_20231025,25-10-2023_Race1,False,735,53,54
10.0,樂捉鳥 (G470),周俊樂,沈集成,132.0,1195.0,5.0,12.0,HKJ_local_results_20231025,25-10-2023_Race1,False,897,3,33
11.0,最佳拍檔 (H261),鍾易禮,伍鵬志,128.0,1064.0,8.0,70.0,HKJ_local_results_20231025,25-10-2023_Race1,False,831,52,3
12.0,領航聖心 (H107),艾兆禮,廖康銘,132.0,1099.0,11.0,69.0,HKJ_local_results_20231025,25-10-2023_Race1,False,1690,31,23
1.0,東風壹號 (G042),霍宏聲,廖康銘,120.0,1222.0,4.0,4.5,HKJ_local_results_20231025,25-10-2023_Race2,True,867,54,23
2.0,天天智庫 (D231),周俊樂,容天鵬,121.0,1049.0,5.0,18.0,HKJ_local_results_20231025,25-10-2023_Race2,True,439,3,18
3.0,特攻 (G004),艾道拿,賀賢,132.0,1128.0,7.0,8.4,HKJ_local_results_20231025,25-10-2023_Race2,True,1028,32,52
4.0,蒲俠超得 (E138),董明朗,鄭俊偉,119.0,1179.0,1.0,10.0,HKJ_local_results_20231025,25-10-2023_Race2,False,1353,40,54
5.0,得力寶駒 (E270),希威森,呂健威,124.0,1090.0,3.0,7.8,HKJ_local_results_20231025,25-10-2023_Race2,False,649,15,8
6.0,紅海福星 (D338),潘頓,文家良,127.0,1129.0,8.0,4.7,HKJ_local_results_20231025,25-10-2023_Race2,False,1200,25,25
7.0,鑽石寶寶 (G063),巴度,姚本輝,135.0,1185.0,2.0,16.0,HKJ_local_results_20231025,25-10-2023_Race2,False,1587,11,14
8.0,喜愛善 (E376),艾兆禮,蘇偉賢,128.0,1288.0,6.0,11.0,HKJ_local_results_20231025,25-10-2023_Race2,False,334,31,50
9.0,洪運派彩 (G414),田泰安,徐雨石,126.0,1180.0,10.0,7.7,HKJ_local_results_20231025,25-10-2023_Race2,False,941,27,24
10.0,辣得駕勢 (G203),梁家俊,伍鵬志,134.0,1068.0,12.0,14.0,HKJ_local_results_20231025,25-10-2023_Race2,False,1453,19,3
11.0,奮鬥雄才 (E255),鍾易禮,葉楚航,122.0,1069.0,11.0,37.0,HKJ_local_results_20231025,25-10-2023_Race2,False,476,52,46
12.0,紀利大師 (G440),賀銘年,丁冠豪,129.0,1057.0,9.0,72.0,HKJ_local_results_20231025,25-10-2023_Race2,False,1195,47,0
1.0,妙算歡騰 (E383),霍宏聲,廖康銘,124.0,1237.0,10.0,4.1,HKJ_local_results_20231025,25-10-2023_Race3,True,498,54,23
2.0,歡喜福星 (G354),嘉里,方嘉柏,125.0,1002.0,2.0,10.0,HKJ_local_results_20231025,25-10-2023_Race3,True,912,4,26
3.0,亞洲力量 (E400),蔡明紹,黎昭昇,119.0,1088.0,4.0,28.0,HKJ_local_results_20231025,25-10-2023_Race3,True,53,41,65
4.0,發財秘笈 (G303),黃智弘,伍鵬志,124.0,1021.0,11.0,6.9,HKJ_local_results_20231025,25-10-2023_Race3,False,1061,60,3
5.0,紅粉豐彩 (G220),希威森,韋達,119.0,1271.0,3.0,5.6,HKJ_local_results_20231025,25-10-2023_Race3,False,1202,15,57
6.0,開心三多 (H293),鍾易禮,告東尼,120.0,996.0,9.0,42.0,HKJ_local_results_20231025,25-10-2023_Race3,False,1606,52,9
7.0,加飯 (H271),田泰安,容天鵬,125.0,1202.0,1.0,6.4,HKJ_local_results_20231025,25-10-2023_Race3,False,182,27,18
8.0,中華叻叻 (G054),董明朗,徐雨石,120.0,1083.0,7.0,18.0,HKJ_local_results_20231025,25-10-2023_Race3,False,36,40,24
9.0,威武勇駒 (E480),潘頓,賀賢,133.0,1095.0,14.0,7.4,HKJ_local_results_20231025,25-10-2023_Race3,False,513,25,52
10.0,合夥芙蓉 (G256),巴度,蘇偉賢,116.0,1051.0,13.0,57.0,HKJ_local_results_20231025,25-10-2023_Race3,False,290,11,50
11.0,傳奇大師 (G376),潘明輝,呂健威,116.0,1077.0,6.0,72.0,HKJ_local_results_20231025,25-10-2023_Race3,False,103,24,8
12.0,堅有利 (G462),周俊樂,沈集成,120.0,1133.0,12.0,10.0,HKJ_local_results_20231025,25-10-2023_Race3,False,375,3,33
13.0,星雲浩騰 (G372),艾兆禮,葉楚航,126.0,1110.0,5.0,48.0,HKJ_local_results_20231025,25-10-2023_Race3,False,799,31,46
1.0,紅運大師 (C287),艾道拿,蔡約翰,124.0,1068.0,4.0,2.7,HKJ_local_results_20231025,25-10-2023_Race4,True,1206,32,48
2.0,顏色王子 (E418),董明朗,韋達,127.0,1186.0,10.0,38.0,HKJ_local_results_20231025,25-10-2023_Race4,True,1695,40,57
3.0,日日獎 (H283),楊明綸,方嘉柏,117.0,1139.0,2.0,55.0,HKJ_local_results_20231025,25-10-2023_Race4,True,771,20,26
4.0,勇晉當銳 (H425),希威森,沈集成,127.0,1087.0,1.0,16.0,HKJ_local_results_20231025,25-10-2023_Race4,False,207,15,33
5.0,友盈友福 (D343),賀銘年,鄭俊偉,119.0,1136.0,7.0,9.6,HKJ_local_results_20231025,25-10-2023_Race4,False,278,47,54
