race_date,horse_name,jockey,trainer,actual_weight,draw,win_odds,race_distance,track_condition,horse_age,class,is_top3
2025-01-01,馬_000_00,周俊樂,葉楚航,120,7,15.7,2200,黏地,3,精英班,0
2025-01-01,馬_000_01,布文,葉楚航,101,8,17.53,2200,黏地,5,精英班,0
2025-01-01,馬_000_02,潘頓,蘇偉賢,120,1,7.71,2200,黏地,5,精英班,1
2025-01-01,馬_000_03,田泰安,沈集成,102,5,13.93,2200,黏地,4,精英班,0
2025-01-01,馬_000_04,梁家俊,告東尼,117,4,13.5,2200,黏地,2,精英班,0
2025-01-01,馬_000_05,艾道拿,沈集成,107,3,12.02,2200,黏地,7,精英班,0
2025-01-01,馬_000_06,潘頓,蘇偉賢,103,2,14.6,2200,黏地,7,精英班,1
2025-01-01,馬_000_07,潘頓,蔡約翰,133,10,9.28,2200,黏地,7,精英班,0
2025-01-01,馬_000_08,周俊樂,大衛希斯,122,12,18.66,2200,黏地,2,精英班,0
2025-01-01,馬_000_09,梁家俊,沈集成,128,13,22.1,2200,黏地,2,精英班,1
2025-01-01,馬_000_10,梁家俊,蘇偉賢,100,12,19.46,2200,黏地,8,精英班,0
2025-01-01,馬_000_11,莫雷拉,方嘉柏,104,10,11.22,2200,黏地,8,精英班,0
2025-01-02,馬_001_00,周俊樂,沈集成,133,1,8.71,1600,軟地,8,第一班,0
2025-01-02,馬_001_01,周俊樂,大衛希斯,126,3,8.48,1600,軟地,2,第一班,1
2025-01-02,馬_001_02,田泰安,呂健威,104,10,9.36,1600,軟地,8,第一班,0
2025-01-02,馬_001_03,田泰安,告東尼,131,7,17.41,1600,軟地,2,第一班,0
2025-01-02,馬_001_04,蔡明紹,大衛希斯,122,7,9.95,1600,軟地,6,第一班,0
2025-01-02,馬_001_05,艾道拿,方嘉柏,121,12,16.68,1600,軟地,3,第一班,0
2025-01-02,馬_001_06,梁家俊,葉楚航,105,12,15.16,1600,軟地,5,第一班,0
2025-01-02,馬_001_07,艾道拿,沈集成,124,7,10.0,1600,軟地,7,第一班,1
2025-01-02,馬_001_08,梁家俊,方嘉柏,112,9,13.51,1600,軟地,4,第一班,0
2025-01-02,馬_001_09,何澤堯,呂健威,123,11,8.86,1600,軟地,7,第一班,1
2025-01-02,馬_001_10,周俊樂,呂健威,111,14,6.54,1600,軟地,8,第一班,1
2025-01-02,馬_001_11,莫雷拉,方嘉柏,101,2,6.82,1600,軟地,5,第一班,1
2025-01-03,馬_002_00,莫雷拉,方嘉柏,101,5,13.01,1800,黏地,5,第一班,0
2025-01-03,馬_002_01,艾道拿,方嘉柏,116,6,8.65,1800,黏地,6,第一班,0
2025-01-03,馬_002_02,布文,大衛希斯,110,1,9.0,1800,黏地,2,第一班,1
2025-01-03,馬_002_03,蔡明紹,沈集成,118,10,12.08,1800,黏地,4,第一班,0
2025-01-03,馬_002_04,蔡明紹,蘇偉賢,106,4,11.2,1800,黏地,2,第一班,0
2025-01-03,馬_002_05,莫雷拉,方嘉柏,127,9,11.97,1800,黏地,2,第一班,0
2025-01-03,馬_002_06,田泰安,告東尼,115,10,9.22,1800,黏地,2,第一班,0
2025-01-03,馬_002_07,何澤堯,葉楚航,131,11,13.8,1800,黏地,8,第一班,0
2025-01-03,馬_002_08,田泰安,方嘉柏,115,3,12.1,1800,黏地,5,第一班,0
2025-01-03,馬_002_09,莫雷拉,蘇偉賢,119,14,10.59,1800,黏地,4,第一班,1
2025-01-03,馬_002_10,梁家俊,方嘉柏,124,13,16.64,1800,黏地,3,第一班,0
2025-01-03,馬_002_11,梁家俊,沈集成,132,4,10.46,1800,黏地,2,第一班,0
2025-01-04,馬_003_00,莫雷拉,蘇偉賢,132,12,7.38,2400,黏地,4,第三班,1
2025-01-04,馬_003_01,布文,大衛希斯,107,11,13.07,2400,黏地,4,第三班,0
2025-01-04,馬_003_02,莫雷拉,沈集成,132,5,6.59,2400,黏地,5,第三班,1
2025-01-04,馬_003_03,莫雷拉,蘇偉賢,116,12,13.24,2400,黏地,5,第三班,0
2025-01-04,馬_003_04,何澤堯,大衛希斯,134,12,17.68,2400,黏地,2,第三班,0
2025-01-04,馬_003_05,田泰安,沈集成,132,4,15.85,2400,黏地,8,第三班,0
2025-01-04,馬_003_06,艾道拿,呂健威,102,2,11.67,2400,黏地,2,第三班,0
2025-01-04,馬_003_07,周俊樂,蔡約翰,131,6,9.66,2400,黏地,8,第三班,1
2025-01-04,馬_003_08,潘頓,蔡約翰,116,8,7.35,2400,黏地,2,第三班,1
2025-01-04,馬_003_09,艾道拿,蔡約翰,134,2,7.1,2400,黏地,2,第三班,1
2025-01-04,馬_003_10,艾道拿,呂健威,119,1,9.51,2400,黏地,7,第三班,1
2025-01-04,馬_003_11,潘頓,蔡約翰,131,7,6.74,2400,黏地,8,第三班,1
